start...
Finetuning mode
Load outputs/2022-09-10-11-12-34/trained_model/tetris_epoch110_score26900.pt...
Epoch: 142 / 100000, Score: 14300,  block: 301,  Reward: -131.6009 Cleared lines: 119, col: 61/29/0/0 
Epoch: 143 / 100000, Score: 13400,  block: 301,  Reward: -140.4752 Cleared lines: 122, col: 88/17/0/0 
Epoch: 144 / 100000, Score: 14600,  block: 301,  Reward: -137.3138 Cleared lines: 120, col: 73/19/3/0 
Epoch: 145 / 100000, Score: 15400,  block: 301,  Reward: -119.2827 Cleared lines: 120, col: 76/14/4/1 
Epoch: 146 / 100000, Score: 14000,  block: 301,  Reward: -153.3063 Cleared lines: 121, col: 73/24/0/0 
Epoch: 147 / 100000, Score: 14600,  block: 301,  Reward: -147.6889 Cleared lines: 120, col: 68/23/2/0 
Epoch: 148 / 100000, Score: 14000,  block: 301,  Reward: -122.9176 Cleared lines: 120, col: 75/21/1/0 
Epoch: 149 / 100000, Score: 2300,  block: 78,  Reward: -61.2684 Cleared lines: 22, col: 15/2/1/0 
Epoch: 150 / 100000, Score: 15700,  block: 301,  Reward: -166.6041 Cleared lines: 122, col: 67/20/5/0 
Epoch: 151 / 100000, Score: 14900,  block: 301,  Reward: -134.5983 Cleared lines: 120, col: 62/26/2/0 
Epoch: 152 / 100000, Score: 15500,  block: 301,  Reward: -136.5604 Cleared lines: 120, col: 55/28/3/0 
Epoch: 153 / 100000, Score: 16600,  block: 301,  Reward: -138.8553 Cleared lines: 120, col: 61/21/3/2 
Epoch: 154 / 100000, Score: 15100,  block: 301,  Reward: -146.2395 Cleared lines: 121, col: 66/23/3/0 
Epoch: 155 / 100000, Score: 14300,  block: 301,  Reward: -149.4856 Cleared lines: 120, col: 74/20/2/0 
Epoch: 156 / 100000, Score: 14900,  block: 301,  Reward: -151.2979 Cleared lines: 122, col: 73/20/3/0 
Epoch: 157 / 100000, Score: 15200,  block: 301,  Reward: -192.0818 Cleared lines: 119, col: 67/21/2/1 
Epoch: 158 / 100000, Score: 14000,  block: 301,  Reward: -105.4138 Cleared lines: 121, col: 83/16/2/0 
Epoch: 159 / 100000, Score: 15200,  block: 301,  Reward: -134.4723 Cleared lines: 121, col: 64/24/3/0 
Epoch: 160 / 100000, Score: 13400,  block: 301,  Reward: -138.1957 Cleared lines: 119, col: 84/16/1/0 
Epoch: 161 / 100000, Score: 14000,  block: 301,  Reward: -111.9018 Cleared lines: 121, col: 83/16/2/0 
Epoch: 162 / 100000, Score: 15600,  block: 301,  Reward: -128.2088 Cleared lines: 118, col: 70/17/2/2 
Epoch: 163 / 100000, Score: 14500,  block: 301,  Reward: -117.0544 Cleared lines: 122, col: 85/15/1/1 
Epoch: 164 / 100000, Score: 14600,  block: 301,  Reward: -137.0680 Cleared lines: 122, col: 79/17/3/0 
Epoch: 165 / 100000, Score: 1500,  block: 59,  Reward: -49.9957 Cleared lines: 15, col: 10/1/1/0 
Epoch: 166 / 100000, Score: 15000,  block: 301,  Reward: -118.4420 Cleared lines: 120, col: 74/18/2/1 
Epoch: 167 / 100000, Score: 14100,  block: 301,  Reward: -142.3633 Cleared lines: 116, col: 66/22/2/0 
Epoch: 168 / 100000, Score: 14700,  block: 301,  Reward: -102.3107 Cleared lines: 121, col: 79/15/4/0 
Epoch: 169 / 100000, Score: 14300,  block: 301,  Reward: -109.9602 Cleared lines: 120, col: 74/20/2/0 
Epoch: 170 / 100000, Score: 7100,  block: 151,  Reward: -109.1739 Cleared lines: 53, col: 26/10/1/1 
Epoch: 171 / 100000, Score: 15600,  block: 301,  Reward: -137.9034 Cleared lines: 120, col: 67/20/3/1 
Epoch: 172 / 100000, Score: 14300,  block: 301,  Reward: -121.5102 Cleared lines: 119, col: 71/21/2/0 
Epoch: 173 / 100000, Score: 5800,  block: 148,  Reward: -103.3884 Cleared lines: 48, col: 23/11/1/0 
Epoch: 174 / 100000, Score: 14400,  block: 301,  Reward: -119.6282 Cleared lines: 121, col: 75/20/2/0 
Epoch: 175 / 100000, Score: 15700,  block: 301,  Reward: -119.5963 Cleared lines: 121, col: 68/20/3/1 
Epoch: 176 / 100000, Score: 14900,  block: 301,  Reward: -119.6154 Cleared lines: 119, col: 69/19/4/0 
Epoch: 177 / 100000, Score: 14300,  block: 301,  Reward: -140.6467 Cleared lines: 121, col: 77/19/2/0 
Epoch: 178 / 100000, Score: 14800,  block: 301,  Reward: -150.4878 Cleared lines: 120, col: 69/21/3/0 
Epoch: 179 / 100000, Score: 15300,  block: 301,  Reward: -128.7092 Cleared lines: 121, col: 67/21/4/0 
Epoch: 180 / 100000, Score: 15500,  block: 301,  Reward: -169.8058 Cleared lines: 122, col: 66/22/4/0 
Epoch: 181 / 100000, Score: 1300,  block: 59,  Reward: -58.2804 Cleared lines: 14, col: 6/4/0/0 
Epoch: 182 / 100000, Score: 14100,  block: 301,  Reward: -133.2438 Cleared lines: 120, col: 83/14/3/0 
Epoch: 183 / 100000, Score: 16100,  block: 301,  Reward: -157.9905 Cleared lines: 119, col: 64/18/5/1 
Epoch: 184 / 100000, Score: 14900,  block: 301,  Reward: -142.9863 Cleared lines: 122, col: 73/20/3/0 
Epoch: 185 / 100000, Score: 2000,  block: 71,  Reward: -70.2876 Cleared lines: 20, col: 10/5/0/0 
Epoch: 186 / 100000, Score: 13900,  block: 301,  Reward: -117.4240 Cleared lines: 121, col: 85/15/2/0 
Epoch: 187 / 100000, Score: 14700,  block: 301,  Reward: -129.4847 Cleared lines: 121, col: 74/19/3/0 
Epoch: 188 / 100000, Score: 13400,  block: 301,  Reward: -107.0740 Cleared lines: 120, col: 87/15/1/0 
Epoch: 189 / 100000, Score: 13600,  block: 301,  Reward: -138.1560 Cleared lines: 119, col: 80/18/1/0 
Epoch: 190 / 100000, Score: 13600,  block: 301,  Reward: -149.8705 Cleared lines: 120, col: 78/21/0/0 
Epoch: 191 / 100000, Score: 13500,  block: 301,  Reward: -132.2437 Cleared lines: 121, col: 83/19/0/0 
Epoch: 192 / 100000, Score: 14300,  block: 301,  Reward: -130.4583 Cleared lines: 122, col: 75/22/1/0 
Epoch: 193 / 100000, Score: 14400,  block: 301,  Reward: -125.1175 Cleared lines: 122, col: 73/23/1/0 
Epoch: 194 / 100000, Score: 13300,  block: 301,  Reward: -123.4899 Cleared lines: 120, col: 89/14/1/0 
Epoch: 195 / 100000, Score: 13800,  block: 301,  Reward: -110.0572 Cleared lines: 121, col: 87/14/2/0 
Epoch: 196 / 100000, Score: 14900,  block: 301,  Reward: -182.6604 Cleared lines: 120, col: 71/21/1/1 
